sku,category,product_name,description,msrp,wholesale_price,options
AB-RB-029,Road Bikes,Lightning Master,High-quality road bikes for serious cyclists,1239.53,885.38,"{""colors"": [""ol4567"", ""bk1798"", ""gy6789"", ""bl4567"", ""fg3456""], ""sizes"": [""M"", ""XL"", ""XS"", ""L""], ""weight"": ""15.5 lbs""}"
AB-RB-030,Road Bikes,Sprint Classic,High-quality road bikes for serious cyclists,1898.43,1356.02,"{""colors"": [""yl5678"", ""ti2345"", ""sv3456"", ""or8901""], ""sizes"": [""XS"", ""XL"", ""S"", ""L""], ""weight"": ""26.6 lbs""}"
AB-RB-031,Road Bikes,Velocity Pro,Durable road bikes built for performance,984.45,703.18,"{""colors"": [""or8901"", ""cb8901"", ""sv3456"", ""wh9001""], ""sizes"": [""XL"", ""S"", ""L"", ""XS""], ""weight"": ""29.2 lbs""}"
AB-RB-032,Road Bikes,Speedster Deluxe,Professional-grade road bikes with advanced features,4898.56,3498.97,"{""colors"": [""or8901"", ""wh9001"", ""ti2345"", ""yl5678""], ""sizes"": [""XS"", ""M"", ""L"", ""S""], ""weight"": ""28.3 lbs""}"
AB-RB-033,Road Bikes,Swift Classic,Professional-grade road bikes with advanced features,2114.66,1510.47,"{""colors"": [""ti2345"", ""or8901"", ""br7654"", ""fg3456"", ""rd7298""], ""sizes"": [""L"", ""XS"", ""S"", ""M""], ""weight"": ""19.2 lbs""}"
AB-RB-034,Road Bikes,Swift Classic,Professional-grade road bikes with advanced features,2982.83,2130.59,"{""colors"": [""cr4321"", ""br7654"", ""fg3456"", ""rd7298"", ""ti2345""], ""sizes"": [""M"", ""XL"", ""XS""], ""weight"": ""31.4 lbs""}"
AB-RB-035,Road Bikes,Sprint Master,Professional-grade road bikes with advanced features,1856.12,1325.8,"{""colors"": [""bk1798"", ""br7654"", ""bl4567""], ""sizes"": [""XL"", ""XS"", ""S"", ""M""], ""weight"": ""32.7 lbs""}"
AB-RB-036,Road Bikes,Sprint Master,Professional-grade road bikes with advanced features,3070.55,2193.25,"{""colors"": [""ti2345"", ""fg3456"", ""bk1798""], ""sizes"": [""L"", ""S"", ""XS""], ""weight"": ""31.1 lbs""}"
AB-RB-037,Road Bikes,Turbo Pro,High-quality road bikes for serious cyclists,3918.21,2798.72,"{""colors"": [""rd7298"", ""cr4321"", ""gy6789"", ""ti2345"", ""sv3456""], ""sizes"": [""L"", ""XL"", ""M"", ""S""], ""weight"": ""32.9 lbs""}"
AB-RB-038,Road Bikes,Turbo Classic,Durable road bikes built for performance,2269.4,1621.0,"{""colors"": [""ti2345"", ""bl4567"", ""gr5432"", ""gy6789"", ""wh9001""], ""sizes"": [""S"", ""M"", ""XL"", ""L""], ""weight"": ""32.9 lbs""}"
AB-RB-039,Road Bikes,Racer Elite,Professional-grade road bikes with advanced features,1223.6,874.0,"{""colors"": [""wh9001"", ""or8901"", ""ol4567""], ""sizes"": [""XL"", ""L"", ""S"", ""XS""], ""weight"": ""19.1 lbs""}"
AB-RB-040,Road Bikes,Lightning Classic,High-quality road bikes for serious cyclists,5479.18,3913.7,"{""colors"": [""gy6789"", ""bk1798"", ""yl5678"", ""gr5432"", ""or8901""], ""sizes"": [""XL"", ""S"", ""L"", ""XS""], ""weight"": ""20.5 lbs""}"
AB-RB-041,Road Bikes,Turbo Pro,Lightweight road bikes for competitive riding,2804.7,2003.36,"{""colors"": [""ol4567"", ""gy6789"", ""rd7298""], ""sizes"": [""L"", ""XS"", ""XL""], ""weight"": ""27.9 lbs""}"
AB-RB-042,Road Bikes,Aero Classic,Lightweight road bikes for competitive riding,1142.53,816.09,"{""colors"": [""bl4567"", ""gy6789"", ""yl5678"", ""cr4321""], ""sizes"": [""M"", ""L"", ""S"", ""XS""], ""weight"": ""24.4 lbs""}"
AB-RB-043,Road Bikes,Speedster Sport,High-quality road bikes for serious cyclists,1411.27,1008.05,"{""colors"": [""bl4567"", ""br7654""], ""sizes"": [""XL"", ""S"", ""XS""], ""weight"": ""17.5 lbs""}"
AB-RB-044,Road Bikes,Racer Deluxe,Durable road bikes built for performance,1328.33,948.81,"{""colors"": [""rd7298"", ""cb8901"", ""ol4567"", ""fg3456""], ""sizes"": [""S"", ""M"", ""XS""], ""weight"": ""26.6 lbs""}"
AB-RB-045,Road Bikes,Velocity Deluxe,Professional-grade road bikes with advanced features,2906.39,2075.99,"{""colors"": [""cb8901"", ""fg3456""], ""sizes"": [""XS"", ""M"", ""L""], ""weight"": ""27.0 lbs""}"
AB-RB-046,Road Bikes,Racer Deluxe,Lightweight road bikes for competitive riding,900.66,643.33,"{""colors"": [""wh9001"", ""sv3456"", ""ti2345"", ""yl5678""], ""sizes"": [""L"", ""XL"", ""XS""], ""weight"": ""23.7 lbs""}"
AB-RB-047,Road Bikes,Swift Master,Lightweight road bikes for competitive riding,3428.28,2448.77,"{""colors"": [""fg3456"", ""sv3456"", ""ti2345""], ""sizes"": [""XL"", ""L"", ""S"", ""M""], ""weight"": ""31.5 lbs""}"
AB-RB-048,Road Bikes,Velocity Sport,High-quality road bikes for serious cyclists,1492.16,1065.83,"{""colors"": [""br7654"", ""gy6789"", ""bl4567"", ""ol4567""], ""sizes"": [""M"", ""XS"", ""S"", ""XL""], ""weight"": ""18.6 lbs""}"
AB-RB-049,Road Bikes,Sprint Sport,Reliable road bikes for everyday use,1946.83,1390.59,"{""colors"": [""sv3456"", ""bk1798"", ""br7654"", ""bl4567""], ""sizes"": [""S"", ""L"", ""XL""], ""weight"": ""26.1 lbs""}"
AB-RB-050,Road Bikes,Sprint Master,Lightweight road bikes for competitive riding,3325.11,2375.08,"{""colors"": [""cr4321"", ""bk1798"", ""wh9001"", ""gr5432"", ""bl4567""], ""sizes"": [""S"", ""M"", ""L"", ""XL""], ""weight"": ""24.5 lbs""}"
AB-RB-051,Road Bikes,Swift Classic,Lightweight road bikes for competitive riding,4100.98,2929.27,"{""colors"": [""gr5432"", ""br7654"", ""bl4567"", ""wh9001""], ""sizes"": [""M"", ""XS"", ""XL""], ""weight"": ""25.7 lbs""}"
AB-RB-052,Road Bikes,Aero Elite,Durable road bikes built for performance,1450.89,1036.35,"{""colors"": [""wh9001"", ""ol4567"", ""bl4567"", ""gr5432""], ""sizes"": [""M"", ""S"", ""L""], ""weight"": ""15.3 lbs""}"
AB-RB-053,Road Bikes,Aero Sport,Reliable road bikes for everyday use,1111.36,793.83,"{""colors"": [""fg3456"", ""rd7298"", ""ti2345"", ""gy6789""], ""sizes"": [""XS"", ""M"", ""S""], ""weight"": ""24.6 lbs""}"
AB-RB-054,Road Bikes,Swift Elite,Lightweight road bikes for competitive riding,868.83,620.59,"{""colors"": [""ol4567"", ""wh9001""], ""sizes"": [""L"", ""XS"", ""M"", ""XL""], ""weight"": ""18.0 lbs""}"
AB-RB-055,Road Bikes,Velocity Pro,Lightweight road bikes for competitive riding,1173.06,837.9,"{""colors"": [""cr4321"", ""sv3456"", ""or8901""], ""sizes"": [""L"", ""M"", ""XL"", ""S""], ""weight"": ""21.1 lbs""}"
AB-RB-056,Road Bikes,Speedster Deluxe,Professional-grade road bikes with advanced features,1102.39,787.42,"{""colors"": [""gr5432"", ""ti2345"", ""wh9001""], ""sizes"": [""S"", ""XL"", ""M""], ""weight"": ""16.5 lbs""}"
AB-RB-057,Road Bikes,Speedster Classic,Lightweight road bikes for competitive riding,3398.15,2427.25,"{""colors"": [""bk1798"", ""bl4567"", ""gr5432"", ""fg3456""], ""sizes"": [""L"", ""XS"", ""M"", ""XL""], ""weight"": ""33.5 lbs""}"
AB-RB-058,Road Bikes,Sprint Classic,Professional-grade road bikes with advanced features,966.97,690.69,"{""colors"": [""ol4567"", ""rd7298"", ""wh9001"", ""bk1798""], ""sizes"": [""M"", ""XL"", ""S""], ""weight"": ""17.5 lbs""}"
AB-RB-059,Road Bikes,Velocity Master,Reliable road bikes for everyday use,3823.69,2731.21,"{""colors"": [""gy6789"", ""wh9001"", ""cb8901"", ""bk1798"", ""or8901""], ""sizes"": [""XL"", ""M"", ""XS"", ""L""], ""weight"": ""19.6 lbs""}"
AB-RB-060,Road Bikes,Speedster Master,Professional-grade road bikes with advanced features,2131.78,1522.7,"{""colors"": [""sv3456"", ""ti2345"", ""gy6789"", ""gr5432"", ""rd7298""], ""sizes"": [""L"", ""XS"", ""S"", ""M""], ""weight"": ""23.2 lbs""}"
AB-RB-061,Road Bikes,Swift Master,Durable road bikes built for performance,1072.2,765.86,"{""colors"": [""fg3456"", ""gy6789"", ""gr5432"", ""ti2345"", ""or8901""], ""sizes"": [""L"", ""XS"", ""S""], ""weight"": ""20.0 lbs""}"
AB-RB-062,Road Bikes,Racer Classic,High-quality road bikes for serious cyclists,5207.83,3719.88,"{""colors"": [""or8901"", ""bk1798"", ""bl4567"", ""sv3456"", ""yl5678""], ""sizes"": [""L"", ""XS"", ""XL"", ""S""], ""weight"": ""26.0 lbs""}"
AB-RB-063,Road Bikes,Velocity Classic,Reliable road bikes for everyday use,2443.99,1745.71,"{""colors"": [""fg3456"", ""rd7298"", ""gr5432""], ""sizes"": [""XL"", ""L"", ""XS""], ""weight"": ""19.5 lbs""}"
AB-RB-064,Road Bikes,Racer Classic,Professional-grade road bikes with advanced features,1001.63,715.45,"{""colors"": [""br7654"", ""fg3456"", ""gr5432"", ""sv3456"", ""cr4321""], ""sizes"": [""L"", ""XL"", ""XS"", ""S""], ""weight"": ""26.0 lbs""}"
AB-RB-065,Road Bikes,Lightning Elite,Professional-grade road bikes with advanced features,4498.47,3213.19,"{""colors"": [""gr5432"", ""cr4321""], ""sizes"": [""M"", ""XL"", ""XS"", ""S""], ""weight"": ""29.5 lbs""}"
AB-RB-066,Road Bikes,Turbo Elite,Durable road bikes built for performance,3144.82,2246.3,"{""colors"": [""sv3456"", ""cr4321"", ""br7654"", ""or8901""], ""sizes"": [""M"", ""S"", ""XL"", ""XS""], ""weight"": ""26.4 lbs""}"
AB-RB-067,Road Bikes,Sprint Classic,Lightweight road bikes for competitive riding,890.9,636.36,"{""colors"": [""or8901"", ""ti2345"", ""cr4321"", ""ol4567"", ""rd7298""], ""sizes"": [""XS"", ""S"", ""M"", ""L""], ""weight"": ""32.4 lbs""}"
AB-RB-068,Road Bikes,Turbo Pro,High-quality road bikes for serious cyclists,5399.39,3856.71,"{""colors"": [""or8901"", ""ol4567"", ""ti2345""], ""sizes"": [""XS"", ""L"", ""S""], ""weight"": ""21.8 lbs""}"
AB-RB-069,Road Bikes,Lightning Master,Reliable road bikes for everyday use,1070.19,764.42,"{""colors"": [""yl5678"", ""ti2345"", ""fg3456"", ""gy6789"", ""sv3456""], ""sizes"": [""XL"", ""XS"", ""L""], ""weight"": ""27.6 lbs""}"
AB-RB-070,Road Bikes,Velocity Elite,High-quality road bikes for serious cyclists,929.81,664.15,"{""colors"": [""gy6789"", ""rd7298""], ""sizes"": [""XS"", ""XL"", ""S"", ""L""], ""weight"": ""20.9 lbs""}"
AB-RB-071,Road Bikes,Swift Classic,Lightweight road bikes for competitive riding,1229.4,878.14,"{""colors"": [""rd7298"", ""br7654"", ""wh9001""], ""sizes"": [""XL"", ""S"", ""L"", ""XS""], ""weight"": ""19.6 lbs""}"
AB-RB-072,Road Bikes,Velocity Classic,Lightweight road bikes for competitive riding,2202.8,1573.43,"{""colors"": [""ti2345"", ""sv3456"", ""rd7298"", ""wh9001""], ""sizes"": [""M"", ""XL"", ""L"", ""S""], ""weight"": ""28.8 lbs""}"
AB-RB-073,Road Bikes,Turbo Sport,Lightweight road bikes for competitive riding,1567.72,1119.8,"{""colors"": [""bl4567"", ""or8901""], ""sizes"": [""XL"", ""M"", ""L"", ""S""], ""weight"": ""15.4 lbs""}"
AB-RB-074,Road Bikes,Lightning Sport,High-quality road bikes for serious cyclists,974.15,695.82,"{""colors"": [""ol4567"", ""gr5432"", ""cr4321"", ""bl4567"", ""cb8901""], ""sizes"": [""S"", ""XL"", ""M"", ""L""], ""weight"": ""28.6 lbs""}"
AB-RB-075,Road Bikes,Aero Master,High-quality road bikes for serious cyclists,1087.55,776.82,"{""colors"": [""cr4321"", ""gy6789"", ""bk1798"", ""cb8901""], ""sizes"": [""S"", ""XS"", ""XL"", ""M""], ""weight"": ""29.9 lbs""}"
AB-RB-076,Road Bikes,Aero Elite,Durable road bikes built for performance,1472.35,1051.68,"{""colors"": [""ol4567"", ""rd7298"", ""gr5432"", ""gy6789""], ""sizes"": [""M"", ""XS"", ""S"", ""L""], ""weight"": ""17.8 lbs""}"
AB-RB-077,Road Bikes,Sprint Master,Reliable road bikes for everyday use,3865.01,2760.72,"{""colors"": [""wh9001"", ""cr4321"", ""or8901"", ""bk1798""], ""sizes"": [""XL"", ""XS"", ""S"", ""M""], ""weight"": ""28.5 lbs""}"
AB-RB-078,Road Bikes,Velocity Deluxe,Durable road bikes built for performance,3621.66,2586.9,"{""colors"": [""ti2345"", ""bl4567""], ""sizes"": [""XS"", ""M"", ""L"", ""XL""], ""weight"": ""28.0 lbs""}"
AB-RB-079,Road Bikes,Turbo Master,High-quality road bikes for serious cyclists,2189.0,1563.57,"{""colors"": [""bk1798"", ""br7654"", ""gr5432""], ""sizes"": [""XS"", ""XL"", ""L"", ""M""], ""weight"": ""22.8 lbs""}"
AB-RB-080,Road Bikes,Swift Master,Professional-grade road bikes with advanced features,4298.84,3070.6,"{""colors"": [""ti2345"", ""wh9001"", ""gy6789"", ""cb8901"", ""or8901""], ""sizes"": [""XS"", ""M"", ""XL"", ""S""], ""weight"": ""23.9 lbs""}"
AB-MB-001,Mountain Bikes,Ridge Sport,Durable mountain bikes built for performance,1252.79,894.85,"{""colors"": [""bk1798"", ""or8901"", ""gr5432"", ""bl4567""], ""sizes"": [""L"", ""XS"", ""M""], ""weight"": ""19.2 lbs""}"
AB-MB-002,Mountain Bikes,Trail Pro,Professional-grade mountain bikes with advanced features,2104.83,1503.45,"{""colors"": [""wh9001"", ""ol4567"", ""cr4321""], ""sizes"": [""XL"", ""S"", ""XS""], ""weight"": ""21.6 lbs""}"
AB-MB-003,Mountain Bikes,Summit Deluxe,Professional-grade mountain bikes with advanced features,986.8,704.86,"{""colors"": [""sv3456"", ""gr5432"", ""cr4321""], ""sizes"": [""XS"", ""XL"", ""L""], ""weight"": ""15.3 lbs""}"
AB-MB-004,Mountain Bikes,Ridge Deluxe,Durable mountain bikes built for performance,1903.92,1359.94,"{""colors"": [""rd7298"", ""fg3456""], ""sizes"": [""XL"", ""XS"", ""M"", ""L""], ""weight"": ""24.5 lbs""}"
AB-MB-005,Mountain Bikes,Boulder Deluxe,Reliable mountain bikes for everyday use,4054.82,2896.3,"{""colors"": [""cb8901"", ""bk1798"", ""fg3456""], ""sizes"": [""L"", ""XS"", ""XL"", ""S""], ""weight"": ""31.9 lbs""}"
AB-MB-006,Mountain Bikes,Alpine Master,Lightweight mountain bikes for competitive riding,1067.32,762.37,"{""colors"": [""br7654"", ""wh9001""], ""sizes"": [""XL"", ""S"", ""XS"", ""M""], ""weight"": ""20.5 lbs""}"
AB-MB-007,Mountain Bikes,Boulder Classic,Lightweight mountain bikes for competitive riding,5117.0,3655.0,"{""colors"": [""wh9001"", ""cr4321"", ""fg3456"", ""br7654"", ""ti2345""], ""sizes"": [""L"", ""XL"", ""XS""], ""weight"": ""23.3 lbs""}"
AB-MB-008,Mountain Bikes,Terrain Classic,Durable mountain bikes built for performance,3898.97,2784.98,"{""colors"": [""yl5678"", ""ti2345"", ""gr5432"", ""br7654"", ""rd7298""], ""sizes"": [""XS"", ""XL"", ""L"", ""M""], ""weight"": ""23.6 lbs""}"
AB-MB-009,Mountain Bikes,Boulder Elite,Reliable mountain bikes for everyday use,3931.16,2807.97,"{""colors"": [""ti2345"", ""wh9001"", ""or8901"", ""yl5678""], ""sizes"": [""XS"", ""M"", ""L"", ""S""], ""weight"": ""22.0 lbs""}"
AB-MB-010,Mountain Bikes,Ridge Elite,High-quality mountain bikes for serious cyclists,2943.82,2102.73,"{""colors"": [""ol4567"", ""sv3456"", ""yl5678"", ""wh9001""], ""sizes"": [""XL"", ""S"", ""L"", ""XS""], ""weight"": ""27.2 lbs""}"
AB-MB-011,Mountain Bikes,Canyon Pro,Durable mountain bikes built for performance,1397.73,998.38,"{""colors"": [""yl5678"", ""bk1798"", ""rd7298"", ""cr4321""], ""sizes"": [""XS"", ""S"", ""M"", ""XL""], ""weight"": ""16.8 lbs""}"
AB-MB-012,Mountain Bikes,Ridge Classic,Professional-grade mountain bikes with advanced features,3377.39,2412.42,"{""colors"": [""gr5432"", ""fg3456"", ""yl5678"", ""cb8901""], ""sizes"": [""XS"", ""S"", ""XL""], ""weight"": ""30.1 lbs""}"
AB-MB-013,Mountain Bikes,Trail Master,Lightweight mountain bikes for competitive riding,984.86,703.47,"{""colors"": [""cb8901"", ""gy6789"", ""or8901"", ""gr5432"", ""bl4567""], ""sizes"": [""M"", ""L"", ""XS""], ""weight"": ""20.7 lbs""}"
AB-MB-014,Mountain Bikes,Terrain Deluxe,Lightweight mountain bikes for competitive riding,1930.05,1378.61,"{""colors"": [""bk1798"", ""bl4567""], ""sizes"": [""S"", ""XL"", ""L"", ""M""], ""weight"": ""21.6 lbs""}"
AB-MB-015,Mountain Bikes,Trail Classic,Lightweight mountain bikes for competitive riding,2852.07,2037.19,"{""colors"": [""sv3456"", ""br7654"", ""ti2345""], ""sizes"": [""XS"", ""L"", ""M"", ""XL""], ""weight"": ""23.7 lbs""}"
AB-MB-016,Mountain Bikes,Terrain Pro,Reliable mountain bikes for everyday use,2397.82,1712.73,"{""colors"": [""fg3456"", ""ti2345"", ""or8901"", ""gr5432"", ""wh9001""], ""sizes"": [""XS"", ""M"", ""XL"", ""S""], ""weight"": ""31.6 lbs""}"
AB-MB-017,Mountain Bikes,Boulder Pro,Professional-grade mountain bikes with advanced features,4116.07,2940.05,"{""colors"": [""cb8901"", ""or8901"", ""sv3456"", ""wh9001"", ""ol4567""], ""sizes"": [""M"", ""S"", ""L"", ""XS""], ""weight"": ""16.5 lbs""}"
AB-MB-018,Mountain Bikes,Peak Deluxe,Durable mountain bikes built for performance,4268.64,3049.03,"{""colors"": [""fg3456"", ""ol4567"", ""ti2345"", ""rd7298""], ""sizes"": [""XS"", ""S"", ""L""], ""weight"": ""18.9 lbs""}"
AB-MB-019,Mountain Bikes,Summit Master,Lightweight mountain bikes for competitive riding,948.96,677.83,"{""colors"": [""cr4321"", ""cb8901"", ""br7654"", ""ol4567"", ""gy6789""], ""sizes"": [""M"", ""S"", ""L"", ""XS""], ""weight"": ""24.4 lbs""}"
AB-MB-020,Mountain Bikes,Canyon Sport,Reliable mountain bikes for everyday use,3921.55,2801.11,"{""colors"": [""gr5432"", ""gy6789""], ""sizes"": [""XS"", ""XL"", ""S"", ""M""], ""weight"": ""16.5 lbs""}"
AB-MB-021,Mountain Bikes,Peak Deluxe,Lightweight mountain bikes for competitive riding,5057.81,3612.72,"{""colors"": [""gy6789"", ""cr4321""], ""sizes"": [""M"", ""L"", ""XL""], ""weight"": ""18.0 lbs""}"
AB-MB-022,Mountain Bikes,Trail Classic,Durable mountain bikes built for performance,1188.54,848.96,"{""colors"": [""sv3456"", ""ti2345""], ""sizes"": [""XS"", ""S"", ""M""], ""weight"": ""23.8 lbs""}"
AB-MB-023,Mountain Bikes,Terrain Deluxe,Durable mountain bikes built for performance,5316.71,3797.65,"{""colors"": [""br7654"", ""gr5432"", ""or8901"", ""cr4321""], ""sizes"": [""XL"", ""XS"", ""M"", ""S""], ""weight"": ""16.3 lbs""}"
AB-MB-024,Mountain Bikes,Peak Deluxe,Reliable mountain bikes for everyday use,3057.04,2183.6,"{""colors"": [""yl5678"", ""wh9001"", ""cb8901""], ""sizes"": [""M"", ""XL"", ""L""], ""weight"": ""29.0 lbs""}"
AB-MB-025,Mountain Bikes,Alpine Elite,High-quality mountain bikes for serious cyclists,5566.26,3975.9,"{""colors"": [""sv3456"", ""or8901"", ""ti2345"", ""yl5678""], ""sizes"": [""XL"", ""XS"", ""M""], ""weight"": ""28.4 lbs""}"
AB-MB-026,Mountain Bikes,Boulder Pro,Professional-grade mountain bikes with advanced features,2162.43,1544.59,"{""colors"": [""cr4321"", ""gy6789"", ""bl4567"", ""br7654""], ""sizes"": [""S"", ""XS"", ""XL""], ""weight"": ""31.9 lbs""}"
AB-MB-027,Mountain Bikes,Peak Deluxe,Reliable mountain bikes for everyday use,5884.51,4203.22,"{""colors"": [""ti2345"", ""yl5678""], ""sizes"": [""XL"", ""L"", ""XS""], ""weight"": ""18.2 lbs""}"
AB-MB-028,Mountain Bikes,Summit Master,Durable mountain bikes built for performance,2602.57,1858.98,"{""colors"": [""gy6789"", ""cb8901"", ""gr5432""], ""sizes"": [""S"", ""XL"", ""L"", ""M""], ""weight"": ""33.1 lbs""}"
